รายชื่อบริษัทและการติดต่อ,ลำดับ,รายการ,จำนวน,หน่วย,ราคาต่อหน่วย,ราคารวม
Owner: บริษัท ลูก้า แอสเซท จำกัด,,,,,,
Project: โครงการ LUKA II RESIDENCE EKAMAI,,,,,,
Location: 95 ซอย กำเนิดทรัพย์ 2 แขวง บางกะปิ เขต ห้วยขวาง กรุงเทพมหานคร 10310,,,,,,
,,ต้นกระดุมใบเงิน ความสูง 0.60 เมตร,2,ต้น,380.0,760.0
,,"ต้นหงส์ฟู ความสูง 0.40 เมตร ถุง 10\"",15""",ต้น,70.00,1050.0,
,,"ต้นปริกหางกระรอก ความสูง 0.30 เมตร ถุง 6\"",25""",ต้น,70.00,1750.0,
,,ต้นหนวดปลาหมึก ความสูง 0.40 เมตร,20,ต้น,50.0,1000.0
,,รวมราคาไม้พุ่มและไม้คลุมดิน,,,,13660.0
,,วัสดุและอุปกรณ์ตกแต่งสวน,,,,
,,ไม้ค้ำยันไม้ยืนต้น,,,,
,,Geotextile,20,m²,70.0,1400.0
,,Drainage Cell,4,m²,420.0,1680.0
,,ดินผสมปลูก,6,m³,700.0,4200.0
,,กระถางรางหมู,2,ใบ,530.0,1060.0
,,รวมวัสดุและอุปกรณ์ตกแต่งสวน,,,,8340.0
,5.0,SUMMARY SOFTSCAPE CONSTRUCTION COST (ชั้น 4),,,,27900.0
,,ราคารวม,,,,141652.5
,,Operating fee,,,,21247.88
,,ราคารวมไม่รวมภาษีมูลค่าเพิ่ม,,,,162900.38
,,ภาษีมูลค่าเพิ่ม 7%,,,,11403.03
,,ยอดรวมทั้งสิ้น,,,,174303.4
